ids	count
00230a69-3d35-4a4f-b4a6-4b002b83cd06_ENSG00000136492.10	19.0
002fa1b2-50d9-4cce-bbc7-3cc7f103cb65_ENSG00000108384.16	1839.0
004d071d-1879-4463-846c-5f2bd5d2bc9d_ENSG00000136492.10	19.0
007c61da-26ca-4416-b452-21828cd7a6c0_ENSG00000136492.10	125.0
008c39c0-1e94-4830-80d1-4b7d0284dd31_ENSG00000108384.16	83.0
008f653b-df31-4bbd-b9b9-205db5303e2c_ENSG00000108384.16	11.0
0099d4fa-bf3c-4791-861d-e8b4632c4062_ENSG00000185379.21	35.0
00c2e909-1808-4248-bdf2-057d4462fa0c_ENSG00000136492.10	13.0
00c9dd63-7265-4c44-b7ec-623bb96e0952_ENSG00000108384.16	36.0
00d73a73-d558-4300-8eb8-214a2a14b598_ENSG00000136492.10	9.0
00e4cf41-235b-4f01-ab44-92b30f2079bf_ENSG00000136492.10	22.0
00e9e0b9-4f70-4d89-aae2-2766a5153810_ENSG00000136492.10	19.0
00f9079a-7786-42ba-a94b-7c287478b3d1_ENSG00000136492.10	16.0
0102e1d4-8f76-48f8-a6ba-e9cec56a9a3b_ENSG00000136492.10	1163.0
012319e9-e971-48f5-86dc-acc318de08ae_ENSG00000108384.16	9.0
014a3174-d671-4fbb-8de0-79e6c659c671_ENSG00000136492.10	133.0
0182ca57-4059-46da-b877-67726aa8985c_ENSG00000136492.10	17.0
01836000-8356-438e-b4cb-59caeb888e14_ENSG00000108384.16	14.0
01873cb8-931e-4eb2-aeb4-74d61227134f_ENSG00000136492.10	82.0
01ac5cac-7299-4872-8973-578c66850e6b_ENSG00000108384.16	220.0
01ef4b40-f6ac-4d13-9e53-b4e6549b842b_ENSG00000136492.10	7.0
021787b1-cbf4-4527-8290-a8d6434f42d7_ENSG00000136492.10	8.0
024d483c-bde3-40d7-ba39-c31730fa61de_ENSG00000108384.16	5.0
028afdbd-8e37-4b8d-aa84-64dc0c58646b_ENSG00000136492.10	243.0
02a58065-931c-45c1-aa3b-5f14df0098c2_ENSG00000136492.10	99.0
02ae3ce1-a644-46df-9080-b09f829eac3b_ENSG00000136492.10	78.0
02b40241-6dfc-460f-a394-bcdf27c3660c_ENSG00000136492.10	10.0
02c5726d-aa68-4cfa-927e-41c636310de2_ENSG00000108384.16	18.0
02d8f865-7b42-4992-8c88-90deb857a153_ENSG00000185379.21	39.0
0303cab4-65c5-42df-bf8b-823cdeeeb30b_ENSG00000136492.10	11.0
03084845-1b7e-407f-87ba-fd384de814db_ENSG00000108384.16	25.0
03093c68-7321-4fac-91fa-9202b0a8a03a_ENSG00000108384.16	9.0
03125665-d273-4d48-82b9-fada0e622607_ENSG00000136492.10	16.0
032ae0f1-2292-4ff3-af2a-1d4b26f13163_ENSG00000136492.10	41.0
033cec1b-a17c-4fda-abca-28c4f62826af_ENSG00000136492.10	11.0
034b3dad-b464-4916-8094-4e3d9514b1ce_ENSG00000136492.10	53.0
035ae9d5-6271-4d93-bb12-dd6156aa36b2_ENSG00000136492.10	4.0
03aa6fd9-24f6-45bd-be3d-1a145e871e4a_ENSG00000108384.16	143.0
03abb138-1cbc-4ee8-828b-941fcf40a0d7_ENSG00000108384.16	41.0
03b4d7d5-3bd8-437a-95d2-2d8fadf70246_ENSG00000108384.16	204.0
03c6c19e-116d-40f4-9377-8c1000dcf22b_ENSG00000108384.16	30.0
03da7d63-a743-4852-949d-c63d71dbb2c3_ENSG00000185379.21	36.0
03dd9f2f-4806-49fb-9fa4-49ebc118da2c_ENSG00000108384.16	6.0
0437c0a5-4e2b-4eb7-91c0-3ba2fb1af49b_ENSG00000136492.10	27.0
047ed8cb-8479-4858-8d20-83cec825a942_ENSG00000136492.10	21.0
0489f39f-635f-4aef-b07e-604a33d922ac_ENSG00000136492.10	11.0
049b6a81-6093-4de9-96a1-d08fe6a5fce6_ENSG00000136492.10	2.0
04aa6375-4ed7-420a-9cae-20c73a0ca9e0_ENSG00000136492.10	6.0
04bf8c7a-a636-4d60-ab7c-05c50556d666_ENSG00000136492.10	27.0
04ea9907-400f-4b45-822d-da48f8e709f3_ENSG00000136492.10	22.0
04f0c010-7e99-4f77-90d0-d517c0e82b2b_ENSG00000136492.10	12.0
0534bc80-1aff-45ff-8b94-184d5b17f260_ENSG00000136492.10	8.0
0556504d-00c5-4c79-949f-b7ea3257c970_ENSG00000108384.16	42.0
0562fb92-fdfd-4d4d-aa99-83fbbd290e81_ENSG00000136492.10	4.0
057fb0d7-1c84-47b8-a6a3-0aa2cb8ada28_ENSG00000108384.16	47.0
058843ab-ad73-4500-9143-f2335c03cb0c_ENSG00000108384.16	8.0
05972748-2ef3-43d9-8cea-7de3f45efa25_ENSG00000136492.10	14.0
05dfa5e6-c997-4c9f-93c1-a0edfed2e6d9_ENSG00000136492.10	100.0
0667d392-b0d3-4f68-af6b-cb156d4e9bbf_ENSG00000136492.10	186.0
067e5ba9-a40f-49c7-9357-21e86a4a6b6b_ENSG00000136492.10	5.0
068fb35b-165b-46bc-bb7e-93aaf28570b6_ENSG00000136492.10	11.0
06c461dc-40e8-4063-adf9-f2f00b5f388c_ENSG00000136492.10	24.0
06e26487-e553-4f5a-82c1-1a1485d8c456_ENSG00000108384.16	25.0
06e494b2-e415-4c6f-8c6c-626a32d5380f_ENSG00000108384.16	8.0
06fde16a-b286-41d4-80ca-8d8c3cb141f1_ENSG00000136492.10	23.0
070c256e-6461-46ab-97a2-4950ebcaa8af_ENSG00000108384.16	1804.0
072c9b9e-d8a7-4ed5-bf0e-e17d7f4caddf_ENSG00000136492.10	7.0
07499769-b408-41ab-83ba-0ae9fda7d065-1_ENSG00000136492.10	29.0
07499769-b408-41ab-83ba-0ae9fda7d065_ENSG00000136492.10	51.0
076adc79-c0c4-40d1-95fa-e48a5c935d43_ENSG00000136492.10	936.0
076ee8be-69f0-4381-a2e3-39b45cecf3a9_ENSG00000136492.10	7.0
0774205b-b8a1-4497-9b05-5dc2bbbc2d8b_ENSG00000108384.16	30.0
077776f2-359d-4d7c-9f6e-e865cfe4de1a_ENSG00000136492.10	5.0
07842145-771b-43aa-9364-2d9714dcc7b1_ENSG00000136492.10	13.0
07909dac-385a-42b6-bcd7-7aa48a33bf46_ENSG00000136492.10	3.0
0798e0cd-3aab-438b-97ef-bf2b7cea0b13_ENSG00000136492.10	14.0
079dde09-3899-46ac-85e3-44f59a31f06b_ENSG00000136492.10	61.0
07aa4fc8-aedd-44d8-809d-35ed7bee2f5c_ENSG00000108384.16	53.0
07ae396d-a062-476e-ba08-77ffe5813ee6_ENSG00000108384.16	11.0
07c317cd-8686-4efd-848b-6e415c90f137_ENSG00000108384.16	10.0
07db85fc-8711-42ea-94cb-235ec3f7218a_ENSG00000108384.16	45.0
07dd68ac-48fd-4dc1-9bc0-94e4408943ee_ENSG00000108384.16	169.0
07e1fabd-9640-435f-85fa-4c099d944b40_ENSG00000108384.16	106.0
07e9da04-c8cd-4196-9c38-3c63d732aae1_ENSG00000108384.16	67.0
080b671d-f7d8-4609-9acd-608f4819ca1b_ENSG00000108384.16	53.0
081c5c62-f432-4d2a-b0fb-a6900a2799f0_ENSG00000136492.10	4.0
083b6c30-dfb8-4482-a167-f76f636051ad_ENSG00000136492.10	4.0
085bb777-c662-495c-9eb4-f8fdf6a01c52_ENSG00000136492.10	24.0
08896845-1ca2-4a39-a507-8e85e9c4235e_ENSG00000136492.10	8.0
089c8fe7-03f8-4948-b46a-d783a3f6b0b2_ENSG00000108384.16	39.0
08a87837-7fc9-4cf7-8e99-7cb9f846a031_ENSG00000108384.16	14.0
08baefbd-044c-43a4-9b68-2eb138ddd88c_ENSG00000108384.16	304.0
093476ee-57c4-4801-94fb-751d1bbcc8d1_ENSG00000108384.16	37.0
096e7d0f-a561-471b-a441-e732b1f0898e_ENSG00000136492.10	38.0
0972bf2a-480e-4b39-bc65-3e9f1d3b10ea_ENSG00000108384.16	18.0
097aedd8-127a-4896-b42f-a9bc076d8596_ENSG00000136492.10	38.0
0985e09e-224e-42ce-a41f-629e3b7e9dbd_ENSG00000108384.16	26.0
098d54e4-1108-4051-91f9-cb28a19d84ae_ENSG00000108384.16	119.0
09991726-3dd6-43b6-b8a9-4c2af64701f8_ENSG00000108384.16	16.0
09b64ffb-c5ec-43b3-8422-8f70472d0ab1_ENSG00000108384.16	21.0
09d3b42c-49d4-4e99-a38c-9618b1102d93_ENSG00000136492.10	6.0
09d992b1-1e1f-42a6-a1aa-ca2d00583663_ENSG00000136492.10	104.0
09dd4e6e-1293-4838-a29f-b6e34a5e5786_ENSG00000136492.10	242.0
09f4e9dc-d0a8-46cc-88a1-de3413531d5e_ENSG00000108384.16	20.0
09f57b72-e7ff-4ac2-b37a-49dd7ed3abb2_ENSG00000108384.16	131.0
09f9a085-bb37-4970-b572-89171dee1aac_ENSG00000136492.10	25.0
09ffa58c-4a4e-4b82-a878-a90bd5e78ea9_ENSG00000108384.16	277.0
0a04fdde-6b83-4e9a-b14a-ccadd24aaecf_ENSG00000136492.10	3501.0
0a10174c-3300-4ff1-a639-addc477fa09a_ENSG00000136492.10	292.0
0a1ee2b8-0e38-4b46-9164-55f6045688d4_ENSG00000108384.16	23.0
0a300899-3581-4c0c-9044-449ada0eac52_ENSG00000108384.16	33.0
0a4992e1-b821-4fde-81c3-247290affe3c_ENSG00000108384.16	253.0
0a4aaca0-cb42-4262-9fa9-ce2e95bb4d57_ENSG00000136492.10	9.0
0a5455a0-6e5f-4a06-8597-931b22aa28c8_ENSG00000185379.21	95.0
0a8e81fb-ce7b-4f61-b5ab-951e087f8b17_ENSG00000136492.10	7.0
0a9041d0-fe88-4828-b292-822be5dbfbb7_ENSG00000136492.10	10.0
0add152e-12ae-4b47-ba80-b4c2d09b6886_ENSG00000136492.10	8.0
0af8e5ff-f317-4eeb-ac96-46724ae11a05_ENSG00000136492.10	12.0
0b49457f-55c7-4013-99b9-061ae17390f8_ENSG00000185379.21	34.0
0b6d6cc6-74dc-4eb7-8327-de6e9f20fc62_ENSG00000136492.10	321.0
0b814eb7-8d79-4883-be7c-b97459817c71_ENSG00000136492.10	12.0
0b8f143d-6000-4856-bf27-c8b000c06e3a_ENSG00000136492.10	17.0
0ba8e048-6dd1-4e61-a91c-e4f81a43748e_ENSG00000136492.10	12.0
0be021de-36d6-46e2-9158-a9d66226e578_ENSG00000136492.10	57.0
0bef90ce-8a49-44df-bb1d-0091653db073_ENSG00000136492.10	10.0
0c009b85-5670-465e-9c2e-75c9ee6772bd_ENSG00000108384.16	21.0
0c0f75b2-0644-47f4-9ff9-9b518a537234_ENSG00000136492.10	7.0
0c3f0dfa-e833-469c-8d1b-54c8a6ad0277_ENSG00000136492.10	7.0
0c407619-96e9-43ef-b42a-e8e62d2a999a_ENSG00000136492.10	21.0
0c48dd6e-852f-4f6b-b3df-17200064a350_ENSG00000108384.16	20.0
0c61242d-5e73-4140-9171-bd466a2d8eae_ENSG00000108384.16	13.0
0c7e3ed4-8944-4a8a-afcb-3540cb170e94_ENSG00000136492.10	16.0
0c7e5d04-7c27-464c-9290-613549f55f57_ENSG00000108384.16	45.0
0c8c618d-3dee-4447-a7d1-9779492ff682_ENSG00000136492.10	64.0
0c9ba1d3-f1bd-4cb0-9360-e246fd8c657a_ENSG00000185379.21	27.0
0ccec598-a06a-47bd-b32b-330e106272b5_ENSG00000136492.10	32.0
0cde1aa1-daec-4a5d-b7c4-110b201381c2_ENSG00000136492.10	9.0
0ced4e3e-2b7e-4de3-a4bf-8abbb6edae71_ENSG00000136492.10	1372.0
0d2d5409-64e7-446e-a668-728771bfe998_ENSG00000136492.10	18.0
0d4b28f2-29cc-435b-8d81-8d04fcea2093_ENSG00000136492.10	7.0
0d4e4c89-38b6-4c30-ab10-827a654d6f23_ENSG00000136492.10	10.0
0d584303-5a92-4e57-a8e4-03f4b70e4ef9_ENSG00000108384.16	4.0
0d6f6abd-fffd-49e4-bf33-74a0be3f5645_ENSG00000136492.10	15.0
0d93a3ec-1a59-41c5-8543-9027b8b957e3_ENSG00000185379.21	34.0
0da0a08d-bedb-40f1-8b88-c1ecb99e1352_ENSG00000108384.16	6678.0
0daa2d0f-6d85-42a3-86c6-f8d19874051a_ENSG00000136492.10	112.0
