ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionA_batch1	sample4_conditionA_batch1	sample5_conditionA_batch1
03d03f2b-ca00-4fa5-aa39-b3b4873a79ac_ENSG00000183765.23	3507.0	10.0	13.0	5941.0	0.0
04eab203-94d5-4985-bca8-131f71bdb793_ENSG00000183765.23	1.0	4.0	0.0	1.0	0.0
055994d1-ae01-47bc-a143-bbf747b8c068_ENSG00000183765.23	0.0	8.0	3.0	0.0	0.0
05a70321-0c4f-438c-8550-b86c472105d6_ENSG00000183765.23	0.0	3.0	3.0	3.0	0.0
05efd224-9bf5-4655-ad04-6380e06dafa8_ENSG00000183765.23	1.0	17.0	4.0	5.0	0.0
0c511983-b499-4220-977a-b8b8172f7e21_ENSG00000183765.23	2.0	265.0	2.0	2.0	0.0
0d277ccb-0ccb-4c87-889d-d02aff252568_ENSG00000183765.23	1.0	1631.0	3.0	0.0	0.0
0dd1d8ee-05f0-4db5-84ce-9f8b42c98bf8_ENSG00000183765.23	53.0	3.0	0.0	12.0	0.0
0f2eeb1a-3839-432c-b31f-70d7803d823c_ENSG00000183765.23	0.0	2.0	0.0	0.0	0.0
10b4a4a3-d1a7-42d1-a5e4-88c2ebf20324_ENSG00000183765.23	5.0	22.0	8.0	5.0	0.0
10fc9424-6b86-4687-87c2-f11dd1d7a193_ENSG00000183765.23	0.0	5.0	3.0	1.0	0.0
11c9b0a3-fcff-4060-b527-9aa3b5c552cb_ENSG00000183765.23	4.0	2.0	0.0	3.0	0.0
150c2034-a42e-498a-9151-99d29531217f_ENSG00000183765.23	12.0	44.0	16.0	12.0	0.0
1711f4c4-7ab5-4d3f-98e6-97ec59947322_ENSG00000183765.23	12.0	7.0	2.0	12.0	0.0
19b54ea5-2ce8-4e03-938a-f74a869b0c46_ENSG00000183765.23	5.0	25.0	6.0	13.0	0.0
1b9ccdc1-8e28-4594-a864-9d520c47dba9_ENSG00000183765.23	22.0	3.0	5.0	21.0	0.0
1d11adb1-4ce8-4bc1-b4a4-ab2ba34472b0_ENSG00000183765.23	1.0	5.0	2.0	2.0	0.0
1f3ba958-8d73-4e3f-8e30-ea57708dcbb2_ENSG00000183765.23	1.0	10.0	10.0	8.0	0.0
20491fa2-7a62-40f1-8e81-3f01259a015b_ENSG00000183765.23	16.0	7.0	3.0	4.0	0.0
20662f81-80cc-4c5c-b8e9-77f944b95d30_ENSG00000183765.23	3.0	3.0	2.0	1.0	0.0
