"chrom"	"start"	"stop"	"id"	"score"	"strand"	"thickStart"	"thickStop"	"rgb"	"exons"	"exonSizes"	"exonStarts"	"Counts"	"Events"	"r.ENST00000404276.6"
"chr22"	28687743	28741838	"ENST00000404276.6"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,62,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,46659,54025,"	81388	"FL"	""
"chr22"	28687743	28741838	"FLAIR.tx.1"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,87,100,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,46659,54025,"	21199	"delta 8"	"905_966del"
"chr22"	28687743	28741838	"ENST00000382580.6"	60	"-"	28687743	28741838	"217,95,2"	16	"243,81,86,116,164,87,100,62,54,109,91,148,125,129,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,42676,46659,54025,"	7992	"intron2 inclusion (129bp)"	"377_378ins377+3854_377+3983"
"chr22"	28687743	28741838	"ENST00000425190.7"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,87,100,62,54,109,91,148,125,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,54025,"	7556	""	""
"chr22"	28687743	28741838	"FLAIR.tx.2"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,87,100,62,54,109,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,37233,37499,46659,54025,"	6019	"delta 5"	"503_741del"
"chr22"	28687743	28741838	"ENST00000348295.7"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,100,62,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,12094,15761,22262,24165,31651,37233,37499,46659,54025,"	3243	"delta 10"	"1067_1153del"
"chr22"	28687743	28741838	"FLAIR.tx.3"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,62,54,109,91,148,125,325,57,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,46659,54038,"	3211	"FL"	""
"chr22"	28687743	28741838	"FLAIR.tx.4"	60	"-"	28687743	28741838	"217,95,2"	16	"243,81,86,116,164,87,100,62,54,109,91,148,125,93,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,42712,46659,54025,"	3094	"intron2 inclusion (93bp)"	"377_378ins377+3854_377+3947"
"chr22"	28687743	28741838	"FLAIR.tx.5"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,83,164,87,100,62,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,46659,54025,"	3042	"13p (33bp)"	"1318_1351del"
"chr22"	28687743	28741838	"FLAIR.tx.6"	60	"-"	28687743	28741838	"217,95,2"	17	"243,81,86,116,164,87,100,62,54,109,91,148,125,95,129,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,41538,42676,46659,54025,"	2274	"intron 2 inclusions (95bp & 129bp)"	"377_378ins377+3854_377+3983, 377_378ins378-4009_378-3914 "
"chr22"	28687743	28741838	"FLAIR.tx.7"	60	"-"	28687743	28741838	"217,95,2"	11	"243,81,86,116,164,87,100,62,54,109,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,54025,"	2024	""	""
"chr22"	28687743	28741838	"FLAIR.tx.8"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,87,100,54,109,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,37233,37499,46659,54025,"	1931	"delta 5,8"	"503_741del, 905_966del"
"chr22"	28687743	28741838	"ENST00000650281.1"	60	"-"	28687743	28741838	"217,95,2"	16	"243,81,86,116,164,87,100,62,54,109,91,148,125,325,116,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37233,37499,46659,50338,54025,"	1896	""	""
"chr22"	28687743	28741838	"FLAIR.tx.9"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,54,109,91,148,125,129,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,42676,46659,54025,"	1821	"intron2 inclusion (129bp), delta 8"	"377_378ins377+3854_377+3983, 905_966del"
"chr22"	28687743	28741838	"FLAIR.tx.10"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,87,100,62,54,109,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,37499,46659,54025,"	1536	"delta 4,5"	"503_741del"
"chr22"	28687743	28741838	"FLAIR.tx.11"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,100,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,12094,22262,24165,31651,37233,37499,46659,54025,"	1361	"delta 8,10"	"905_966del, 1067_1153del"
"chr22"	28687743	28741838	"FLAIR.tx.12"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,62,54,109,91,38,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,31651,37142,37499,46659,54025,"	1332	"delta 4, intron4 inclusion(38bp)"	"503_650del, 650_651ins650+53_650+91"
"chr22"	28687743	28741838	"FLAIR.tx.13"	60	"-"	28687743	28741838	"217,95,2"	11	"243,81,86,116,164,87,100,54,109,125,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,37499,54025,"	1281	""	""
"chr22"	28687743	28741838	"FLAIR.tx.14"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,87,100,54,109,91,148,125,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,54025,"	1258	""	""
"chr22"	28687743	28741838	"FLAIR.tx.15"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,62,54,109,148,125,129,325,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,37233,37499,42676,46659,54025,"	1015	""	""
"chr22"	28687743	28741838	"FLAIR.tx.16"	60	"-"	28687743	28741838	"217,95,2"	11	"243,81,100,62,54,109,91,148,125,325,70,"	"0,1391,12094,15761,22262,24165,31651,37233,37499,46659,54025,"	1009	"delta 10-13"	"1067_1519del"
"chr22"	28687743	28741838	"FLAIR.tx.17"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,87,100,54,109,91,148,125,325,57,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,46659,54038,"	964	"delta 8"	"905_966del"
"chr22"	28687743	28741838	"FLAIR.tx.18"	60	"-"	28687743	28741838	"217,95,2"	15	"243,81,86,116,164,87,100,54,109,91,148,125,93,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,42712,46659,54025,"	952	""	""
"chr22"	28687743	28741838	"FLAIR.tx.19"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,100,62,54,109,91,148,125,70,"	"0,1391,6288,7383,7966,12094,15761,22262,24165,31651,37233,37499,54025,"	908	""	""
"chr22"	28687743	28741838	"FLAIR.tx.20"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,164,87,100,62,54,109,148,125,70,"	"0,1391,6288,7383,7966,9157,12094,15761,22262,24165,37233,37499,54025,"	824	""	""
"chr22"	28687743	28741838	"FLAIR.tx.21"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,83,164,87,100,54,109,91,148,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37233,37499,46659,54025,"	782	""	""
"chr22"	28687743	28741838	"FLAIR.tx.22"	60	"-"	28687743	28741838	"217,95,2"	14	"243,81,86,116,164,87,100,54,109,91,38,125,325,70,"	"0,1391,6288,7383,7966,9157,12094,22262,24165,31651,37142,37499,46659,54025,"	780	""	""
"chr22"	28687743	28741838	"FLAIR.tx.23"	60	"-"	28687743	28741838	"217,95,2"	13	"243,81,86,116,100,62,54,109,91,148,125,325,70,"	"0,1391,6288,7383,12094,15761,22262,24165,31651,37233,37499,46659,54025,"	762	""	""
