chrom	start	stop	id	score	strand	thickStart	thickStop	rgb	exons	exonSizes	exonStarts	Patient_TB18987.counts	Patient_TB17137.counts	Patient_TB17069.counts	Patient_TB18987.counts	Patient_TB17905.counts	Total counts	Events	r.  ENST00000404276.6	known isoforms
chr22	28687896	28734721	FLAIR.tx.1	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	49517	120135	49662	43777	0	263091	FL		
chr22	28687896	28734721	FLAIR.tx.2	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	863	10849	16766	10406	0	38884	delta 10	1067_1153del	ENST00000348295
chr22	28687896	28734721	ENST00000433728.5	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,37346,46506,"	393	19405	8	280	0	20086	delta 8	905_966del	
chr22	28687896	28734721	FLAIR.tx.3	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,83,164,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	3507	10	13	5941	0	9471	"delta 10, 12p (33bp)"	"1067_1153del, 1318_1351del"	
chr22	28687896	28734721	FLAIR.tx.4	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,62,54,109,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,37346,46506,"	104	6226	1	6	0	6337	"delta 4,5"	503_741del	
chr22	28687896	28734721	FLAIR.tx.5	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,116,164,87,100,62,54,109,91,148,125,93,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,42559,46506,"	4118	14	10	178	0	4320	intron2 inclusion (93bp)	377_378ins377+3854_377+3947	
chr22	28687896	28734721	FLAIR.tx.6	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,116,164,87,100,62,54,109,91,148,125,129,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,42523,46506,"	762	3209	3	157	0	4131	intron2 inclusion (129bp)	377_378ins377+3854_377+3983	ENST00000382580.6
chr22	28687896	28734721	ENST00000417588.5	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,37080,37346,46506,"	6	2568	15	200	0	2789	delta 5	503_741del	
chr22	28687896	28734721	FLAIR.tx.7	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,100,62,54,109,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,37080,37346,46506,"	1	2646	8	20	0	2675	"delta 5,10"	"503_741del, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.8	60	-	28687896	28734721	"217,95,2"	17	"90,81,86,116,164,87,100,62,54,109,91,148,125,117,95,129,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,38348,41385,42523,46506,"	1	16	1934	2	0	1953	"intron2 inclusion (129bp, 95b &, 117bp )"	"377_378ins377+3854_377+3983, 377_378ins378-4009_378-3914, 377_378ins378-994_378-878"	
chr22	28687896	28734721	FLAIR.tx.9	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,54,109,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,37080,37346,46506,"	1	1631	3	0	0	1635	"delta 5,8"	"503_741del, 905_966del"	
chr22	28687896	28734721	FLAIR.tx.10	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,83,164,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	205	70	29	907	0	1211	12p (33bp)	1318_1351del	
chr22	28687896	28734721	FLAIR.tx.11	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,100,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,22109,24012,31498,37080,37346,46506,"	0	333	4	708	0	1045	"delta 8,10"	"905_966del, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.12	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,87,100,54,109,91,148,125,319,"	"0,1238,6135,7230,9004,11941,22109,24012,31498,37080,37346,46506,"	4	7	5	705	0	721	"delta 8,11"	"905_966del, 1154_1317del"	
chr22	28687896	28734721	FLAIR.tx.13	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,100,62,54,109,91,148,125,129,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,42523,46506,"	465	142	2	50	0	659	"intron2 inclusion (129bp), delta 10"	"377_378ins377+3854_377+3983, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.14	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	152	26	17	186	0	381	delta 11	1154_1317del	
